clock,sample,za1,za2,za3,za4,za5,za6,za7,za8,za9,za10,za11,za12,za13,za14,za15,za16,za17,za18,za19,za20,za21,za22,za23,za24,za25,za26,za27,za28,za29,za30,za31,za32,zd1,zd2,zd3,zd4,zd5,zd6,zd7,zd8,zd9,zd10,zd11,zd12,zd13,zd14,zd15,zd16,zd17,zd18,zd19,zd20,zd21,zd22,zd23,zd24,zd25,zd26,zd27,zd28,zd29,zd30,zd31,zd32,pattern1,pattern2,pattern3,pattern4,pattern5,pattern6,pattern7,pattern8
Tue May 03 2016 19:43:40 GMT-0700 (PDT),298967,-2008,-298967,-298967,-298967,-298967,-298967,-298967,-298967,-298967,-298967,-298967,-298967,-298967,-298967,-298967,-106,-298967,-298967,-298967,-298967,-298967,-298967,-298967,-298967,-298967,-298967,-4191,-111,-1670,-14,-298967,-75,-2003,-298967,-298967,-298967,-298967,-298967,-298967,-298967,-298967,-298967,-298967,-298967,-298967,-298967,-298967,-100,-298967,-298967,-298967,-298967,-298967,-298967,-298967,-298967,-298967,-298967,-4189,-107,-1668,-12,-298967,-70,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
Tue May 03 2016 19:43:41 GMT-0700 (PDT),298968,-2009,-298968,-298968,-298968,-298968,-298968,-298968,-298968,-298968,-298968,-298968,-298968,-298968,-298968,-298968,-107,-298968,-298968,-298968,-298968,-298968,-298968,-298968,-298968,-298968,-298968,-4192,-112,-1671,-15,-298968,-76,-2004,-298968,-298968,-298968,-298968,-298968,-298968,-298968,-298968,-298968,-298968,-298968,-298968,-298968,-298968,-101,-298968,-298968,-298968,-298968,-298968,-298968,-298968,-298968,-298968,-298968,-4190,-108,-1669,-13,-298968,-71,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
Tue May 03 2016 19:43:43 GMT-0700 (PDT),298969,-2010,-298969,-298969,-298969,-298969,-298969,-298969,-298969,-298969,-298969,-298969,-298969,-298969,-298969,-298969,-108,-298969,-298969,-298969,-298969,-298969,-298969,-298969,-298969,-298969,-298969,-4193,-113,-1672,-16,-298969,-77,-2005,-298969,-298969,-298969,-298969,-298969,-298969,-298969,-298969,-298969,-298969,-298969,-298969,-298969,-298969,-102,-298969,-298969,-298969,-298969,-298969,-298969,-298969,-298969,-298969,-298969,-4191,-109,-1670,-14,-298969,-72,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
Tue May 03 2016 19:43:44 GMT-0700 (PDT),298970,-2011,-298970,-298970,-298970,-298970,-298970,-298970,-298970,-298970,-298970,-298970,-298970,-298970,-298970,-298970,-109,-298970,-298970,-298970,-298970,-298970,-298970,-298970,-298970,-298970,-298970,-4194,-114,-1673,-17,-298970,-78,-2006,-298970,-298970,-298970,-298970,-298970,-298970,-298970,-298970,-298970,-298970,-298970,-298970,-298970,-298970,-103,-298970,-298970,-298970,-298970,-298970,-298970,-298970,-298970,-298970,-298970,-4192,-110,-1671,-15,-298970,-73,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
Tue May 03 2016 19:43:45 GMT-0700 (PDT),298971,-2012,-298971,-298971,-298971,-298971,-298971,-298971,-298971,-298971,-298971,-298971,-298971,-298971,-298971,-298971,-110,-298971,-298971,-298971,-298971,-298971,-298971,-298971,-298971,-298971,-298971,-4195,-115,-1674,0,-298971,-79,-2007,-298971,-298971,-298971,-298971,-298971,-298971,-298971,-298971,-298971,-298971,-298971,-298971,-298971,-298971,-104,-298971,-298971,-298971,-298971,-298971,-298971,-298971,-298971,-298971,-298971,-4193,-111,-1672,-16,-298971,-74,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
Tue May 03 2016 19:43:46 GMT-0700 (PDT),298973,-2014,-298973,-298973,-298973,-298973,-298973,-298973,-298973,-298973,-298973,-298973,-298973,-298973,-298973,-298973,-112,-298973,-298973,-298973,-298973,-298973,-298973,-298973,-298973,-298973,-298973,-4197,-117,-1676,-2,-298973,-81,-2009,-298973,-298973,-298973,-298973,-298973,-298973,-298973,-298973,-298973,-298973,-298973,-298973,-298973,-298973,-106,-298973,-298973,-298973,-298973,-298973,-298973,-298973,-298973,-298973,-298973,-4195,-113,-1674,-18,-298973,-76,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
Tue May 03 2016 19:43:47 GMT-0700 (PDT),298974,-2015,-298974,-298974,-298974,-298974,-298974,-298974,-298974,-298974,-298974,-298974,-298974,-298974,-298974,-298974,-113,-298974,-298974,-298974,-298974,-298974,-298974,-298974,-298974,-298974,-298974,-4198,-118,-1677,-3,-298974,-82,-2010,-298974,-298974,-298974,-298974,-298974,-298974,-298974,-298974,-298974,-298974,-298974,-298974,-298974,-298974,-107,-298974,-298974,-298974,-298974,-298974,-298974,-298974,-298974,-298974,-298974,-4196,-114,-1675,-19,-298974,-77,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
Tue May 03 2016 19:43:49 GMT-0700 (PDT),298975,-2016,-298975,-298975,-298975,-298975,-298975,-298975,-298975,-298975,-298975,-298975,-298975,-298975,-298975,-298975,-114,-298975,-298975,-298975,-298975,-298975,-298975,-298975,-298975,-298975,-298975,-4199,-119,-1678,-4,-298975,-83,-2011,-298975,-298975,-298975,-298975,-298975,-298975,-298975,-298975,-298975,-298975,-298975,-298975,-298975,-298975,-108,-298975,-298975,-298975,-298975,-298975,-298975,-298975,-298975,-298975,-298975,-4197,-115,-1676,-20,-298975,-78,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
Tue May 03 2016 19:43:50 GMT-0700 (PDT),298976,-2017,-298976,-298976,-298976,-298976,-298976,-298976,-298976,-298976,-298976,-298976,-298976,-298976,-298976,-298976,-115,-298976,-298976,-298976,-298976,-298976,-298976,-298976,-298976,-298976,-298976,-4200,-120,-1679,-5,-298976,-84,-2012,-298976,-298976,-298976,-298976,-298976,-298976,-298976,-298976,-298976,-298976,-298976,-298976,-298976,-298976,-109,-298976,-298976,-298976,-298976,-298976,-298976,-298976,-298976,-298976,-298976,-4198,-116,-1677,-1,-298976,-79,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
Tue May 03 2016 19:43:51 GMT-0700 (PDT),298978,-2019,-298978,-298978,-298978,-298978,-298978,-298978,-298978,-298978,-298978,-298978,-298978,-298978,-298978,-298978,-117,-298978,-298978,-298978,-298978,-298978,-298978,-298978,-298978,-298978,-298978,-4202,-122,-1681,-2,-298978,-86,-2014,-298978,-298978,-298978,-298978,-298978,-298978,-298978,-298978,-298978,-298978,-298978,-298978,-298978,-298978,-111,-298978,-298978,-298978,-298978,-298978,-298978,-298978,-298978,-298978,-298978,-4200,-118,-1679,-3,-298978,-81,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
