clock,sample,za1,za2,za3,za4,za5,za6,za7,za8,za9,za10,za11,za12,za13,za14,za15,za16,za17,za18,za19,za20,za21,za22,za23,za24,za25,za26,za27,za28,za29,za30,za31,za32,zd1,zd2,zd3,zd4,zd5,zd6,zd7,zd8,zd9,zd10,zd11,zd12,zd13,zd14,zd15,zd16,zd17,zd18,zd19,zd20,zd21,zd22,zd23,zd24,zd25,zd26,zd27,zd28,zd29,zd30,zd31,zd32,pattern1,pattern2,pattern3,pattern4,pattern5,pattern6,pattern7,pattern8,pattern9,pattern10
2016-05-15T13:00:21.747Z,552635,-45440,-552635,-552635,-552635,-552635,-552635,-552635,-552635,-552635,-552635,-552635,-552635,-552635,-552635,-552635,-1105,-552635,-552635,-552635,-552635,-552635,-552635,-552635,-552635,-138107,-35877,-8529,-1111,-6931,-155,-552635,-1079,-45429,-552635,-552635,-552635,-552635,-552635,-552635,-552635,-552635,-552635,-552635,-552635,-552635,-552635,-552635,-1100,-552635,-552635,-552635,-552635,-552635,-552635,-552635,-552635,-131262,-35828,-8527,-1105,-6924,-153,-552635,-1074,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA
2016-05-15T13:01:40.032Z,552714,-45519,-552714,-552714,-552714,-552714,-552714,-552714,-552714,-552714,-552714,-552714,-552714,-552714,-552714,-552714,-1184,-552714,-552714,-552714,-552714,-552714,-552714,-552714,-552714,-138186,-35956,-8608,-69,-43,-234,-552714,-1158,-45508,-552714,-552714,-552714,-552714,-552714,-552714,-552714,-552714,-552714,-552714,-552714,-552714,-552714,-552714,-1179,-552714,-552714,-552714,-552714,-552714,-552714,-552714,-552714,-131341,-35907,-8606,-66,-41,-232,-552714,-1153,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA
2016-05-15T13:08:26.720Z,553120,-45925,-553120,-553120,-553120,-553120,-553120,-553120,-553120,-553120,-553120,-553120,-553120,-553120,-553120,-553120,-1590,-553120,-553120,-553120,-553120,-553120,-553120,-553120,-553120,-138592,-36362,-9014,-475,-449,-290,-553120,-1564,-45914,-553120,-553120,-553120,-553120,-553120,-553120,-553120,-553120,-553120,-553120,-553120,-553120,-553120,-553120,-1585,-553120,-553120,-553120,-553120,-553120,-553120,-553120,-553120,-131747,-36313,-9012,-472,-447,-288,-553120,-1559,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA
2016-05-15T13:07:34.220Z,553068,-45873,-553068,-553068,-553068,-553068,-553068,-553068,-553068,-553068,-553068,-553068,-553068,-553068,-553068,-553068,-1538,-553068,-553068,-553068,-553068,-553068,-553068,-553068,-553068,-138540,-36310,-8962,-423,-397,-238,-553068,-1512,-45862,-553068,-553068,-553068,-553068,-553068,-553068,-553068,-553068,-553068,-553068,-553068,-553068,-553068,-553068,-1533,-553068,-553068,-553068,-553068,-553068,-553068,-553068,-553068,-131695,-36261,-8960,-420,-395,-236,-553068,-1507,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA
2016-05-15T13:40:08.710Z,555022,-47827,-555022,-555022,-555022,-555022,-555022,-555022,-555022,-555022,-555022,-555022,-555022,-555022,-555022,-555022,-1236,-555022,-555022,-555022,-555022,-555022,-555022,-555022,-555022,-140494,-38264,-1199,-39,-1146,-37,-555022,-38,-47816,-555022,-555022,-555022,-555022,-555022,-555022,-555022,-555022,-555022,-555022,-555022,-555022,-555022,-555022,-1231,-555022,-555022,-555022,-555022,-555022,-555022,-555022,-555022,-133649,-38215,-1197,-26,-1143,-35,-555022,-1204,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA
2016-05-15T13:50:56.733Z,555670,-48475,-555670,-555670,-555670,-555670,-555670,-555670,-555670,-555670,-555670,-555670,-555670,-555670,-555670,-555670,-1884,-555670,-555670,-555670,-555670,-555670,-555670,-555670,-555670,-141142,-38912,-1847,-178,-1794,-593,-555670,-686,-48464,-555670,-555670,-555670,-555670,-555670,-555670,-555670,-555670,-555670,-555670,-555670,-555670,-555670,-555670,-1879,-555670,-555670,-555670,-555670,-555670,-555670,-555670,-555670,-134297,-38863,-1845,-174,-1791,-591,-555670,-638,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA
2016-05-15T14:03:34.291Z,556428,-49233,-556428,-556428,-556428,-556428,-556428,-556428,-556428,-556428,-556428,-556428,-556428,-556428,-556428,-556428,-334,-556428,-556428,-556428,-556428,-556428,-556428,-556428,-556428,-141900,-39670,-2605,-165,-126,-369,-556428,-369,-49222,-556428,-556428,-556428,-556428,-556428,-556428,-556428,-556428,-556428,-556428,-556428,-556428,-556428,-556428,-328,-556428,-556428,-556428,-556428,-556428,-556428,-556428,-556428,-135055,-39621,-2603,-162,-121,-367,-556428,-365,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA
2016-05-15T14:03:15.688Z,556409,-49214,-556409,-556409,-556409,-556409,-556409,-556409,-556409,-556409,-556409,-556409,-556409,-556409,-556409,-556409,-315,-556409,-556409,-556409,-556409,-556409,-556409,-556409,-556409,-141881,-39651,-2586,-146,-107,-350,-556409,-350,-49203,-556409,-556409,-556409,-556409,-556409,-556409,-556409,-556409,-556409,-556409,-556409,-556409,-556409,-556409,-309,-556409,-556409,-556409,-556409,-556409,-556409,-556409,-556409,-135036,-39602,-2584,-143,-102,-348,-556409,-346,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA
2016-05-15T16:42:41.387Z,565975,-2991,-565975,-565975,-565975,-565975,-565975,-565975,-565975,-565975,-565975,-565975,-565975,-565975,-565975,-565975,-3202,-565975,-565975,-565975,-565975,-565975,-565975,-565975,-565975,-151447,-49217,-3339,-2995,-35,-51,-565975,-3175,-2979,-565975,-565975,-565975,-565975,-565975,-565975,-565975,-565975,-565975,-565975,-565975,-565975,-565975,-565975,-3197,-565975,-565975,-565975,-565975,-565975,-565975,-565975,-565975,-144602,-49168,-3332,-2984,-31,-50,-565975,-3171,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA
2016-05-15T16:56:44.448Z,566818,-3834,-566818,-566818,-566818,-566818,-566818,-566818,-566818,-566818,-566818,-566818,-566818,-566818,-566818,-566818,-31,-566818,-566818,-566818,-566818,-566818,-566818,-566818,-566818,-152290,-50060,-114,-38,-4,-3,-566818,-11,-3822,-566818,-566818,-566818,-566818,-566818,-566818,-566818,-566818,-566818,-566818,-566818,-566818,-566818,-566818,-26,-566818,-566818,-566818,-566818,-566818,-566818,-566818,-566818,-145445,-50011,-114,-32,-2,-2,-566818,-7,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA
